City,Month,Hour,GHI,Temperature,Humidity
Karachi,3,5,0.0,22.452956989247312,76.55537634408601
Karachi,3,6,1.9400537634408603,22.14677419354839,76.93145161290323
Karachi,3,7,81.03655913978494,22.51532258064516,75.21290322580646
Karachi,3,8,276.0709677419355,24.26317204301075,67.69543010752689
Karachi,3,9,488.1209677419355,26.107795698924733,59.218548387096774
Karachi,3,10,683.8645161290323,27.9494623655914,51.1241935483871
Karachi,3,11,804.2852150537634,29.511827956989247,44.00752688172043
Karachi,3,12,868.8043010752689,30.645967741935483,39.436290322580646
Karachi,3,13,847.0088709677419,31.116666666666667,38.79220430107527
Karachi,3,14,763.3341397849462,31.04220430107527,39.6005376344086
Karachi,3,15,621.1405913978494,30.633602150537637,41.41720430107527
Karachi,3,16,425.0430107526882,30.02795698924731,43.33682795698925
Karachi,3,17,205.79435483870967,29.06801075268817,46.22876344086021
Karachi,3,18,34.67177419354839,27.519623655913975,52.017204301075274
Karachi,3,19,0.0,26.273387096774197,58.36586021505376
Karachi,3,20,0.0,25.701612903225808,61.388172043010755
Karachi,3,21,0.0,25.269623655913975,64.1241935483871
Karachi,3,22,0.0,24.868548387096777,65.9747311827957
Karachi,3,23,0.0,24.481182795698924,68.13037634408602
Karachi,4,0,0.0,26.712745098039214,73.51960784313725
Karachi,4,1,0.0,26.475980392156863,74.24387254901961
Karachi,4,2,0.0,26.20980392156863,75.27990196078431
Karachi,4,3,0.0,25.948529411764707,76.67794117647058
Karachi,4,4,0.0,25.727941176470587,77.70343137254902
Karachi,4,5,0.0,25.522794117647056,78.65122549019608
Karachi,4,6,21.428186274509805,25.438970588235296,79.24950980392157
Karachi,4,7,164.16568627450982,26.245343137254903,76.50024509803922
Karachi,4,8,382.2705882352941,27.662990196078432,70.52916666666667
Karachi,4,9,601.944362745098,29.375735294117646,62.66299019607843
Karachi,4,10,775.7865196078432,31.169607843137257,54.2703431372549
Karachi,4,11,890.7115196078431,32.590441176470584,48.599754901960786
Karachi,4,12,941.3004901960784,33.36127450980392,46.41323529411764
Karachi,4,13,919.1953431372549,33.654411764705884,46.03627450980392
Karachi,4,14,830.9139024390245,33.51365853658537,46.22609756097561
Karachi,4,15,670.3106280193236,33.10265700483092,46.771497584541066
Karachi,4,16,470.7492753623189,32.29154589371981,49.88333333333333
Karachi,4,17,246.69589371980678,31.23574879227053,53.610386473429955
Karachi,4,18,59.02777777777778,29.82512077294686,58.57487922705314
Karachi,4,19,0.2855072463768116,28.633333333333336,63.83574879227053
Karachi,4,20,0.0,28.047101449275363,67.04613526570049
Karachi,4,21,0.0,27.692753623188405,68.5024154589372
Karachi,4,22,0.0,27.364251207729467,70.79347826086956
Karachi,4,23,0.0,27.108212560386473,71.8891304347826
Karachi,5,0,0.0,28.884986595174265,79.67560321715818
Karachi,5,1,0.0,28.705913978494625,80.36962365591398
Karachi,5,2,0.0,28.502688172043012,81.34596774193548
Karachi,5,3,0.0,28.351075268817205,81.9983870967742
Karachi,5,4,0.0,28.23440860215054,82.5494623655914
Karachi,5,5,0.23091397849462367,28.13494623655914,83.11370967741935
Karachi,5,6,44.4760752688172,28.200806451612905,83.25322580645161
Karachi,5,7,198.080376344086,29.0,79.98736559139785
Karachi,5,8,395.63467741935483,30.159408602150535,74.23602150537634
Karachi,5,9,602.0720430107526,31.51317204301075,67.56612903225806
Karachi,5,10,766.7532258064516,32.78951612903226,61.99327956989247
Karachi,5,11,886.0295698924731,33.74247311827957,58.70134408602151
Karachi,5,12,935.1120967741936,34.148387096774194,58.13682795698925
Karachi,5,13,925.475,34.23145161290323,58.46290322580646
Karachi,5,14,838.0551075268817,34.06317204301075,59.589516129032255
Karachi,5,15,691.1268817204301,33.64059139784946,61.13145161290323
Karachi,5,16,486.6440860215054,32.891129032258064,64.0021505376344
Karachi,5,17,270.02715053763444,32.06344086021505,67.07419354838709
Karachi,5,18,82.28387096774193,31.003225806451614,71.16720430107527
Karachi,5,19,2.863709677419355,30.092741935483872,75.34327956989247
Karachi,5,20,0.0,29.695430107526885,77.06478494623656
Karachi,5,21,0.0,29.46478494623656,77.93467741935484
Karachi,5,22,0.0,29.255913978494625,78.76424731182796
Karachi,5,23,0.0,29.044086021505375,79.73413978494624
Karachi,6,0,0.0,29.877499999999998,78.54333333333332
Karachi,6,1,0.0,29.701944444444447,79.04583333333333
Karachi,6,2,0.0,29.53833333333333,79.47194444444445
Karachi,6,3,0.0,29.429166666666667,79.4661111111111
Karachi,6,4,0.0,29.294722222222223,80.12666666666667
Karachi,6,5,0.4875,29.193055555555556,80.38416666666666
Karachi,6,6,47.57944444444444,29.320277777777775,80.10527777777779
Karachi,6,7,187.69750000000002,30.10111111111111,76.82388888888889
Karachi,6,8,358.4622222222222,31.153611111111108,71.585
Karachi,6,9,549.411388888889,32.35916666666667,66.19194444444445
Karachi,6,10,702.3316666666667,33.41638888888889,62.04361111111111
Karachi,6,11,817.13,34.27444444444444,59.020833333333336
